MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
52,102,863,204,259,0,1,1
53,67,854,204,254,0,1,1
54,75,882,204,256,0,1,1
55,121,561,204,246,0,1,1
56,89,617,204,204,1,0,1
57,77,864,204,274,0,0,0
58,121,842,204,261,0,0,0
59,84,881,204,266,0,0,0
60,73,870,204,261,0,1,1
61,81,846,204,248,0,0,0
62,45,872,204,261,0,0,0
63,59,878,204,255,0,0,0
64,178,836,204,257,0,1,1
65,51,888,204,242,0,0,0
66,81,875,204,271,0,1,1
67,104,850,204,247,0,0,0
68,90,866,204,254,0,0,0
69,61,875,204,255,0,0,0
70,157,403,204,249,0,1,1
71,228,581,204,204,1,1,1
72,77,863,204,258,0,0,0
73,77,872,204,231,0,0,0
74,70,880,204,257,0,0,0
75,62,872,204,248,0,1,1
76,112,865,204,261,0,1,1
77,55,890,204,263,0,0,0
78,48,887,204,266,0,0,0
79,65,878,204,286,0,1,1
80,44,904,204,251,0,0,0
81,87,883,204,254,0,1,1
82,88,869,204,253,0,1,1
83,48,870,204,253,0,0,0
84,49,858,204,257,0,0,0
85,140,844,204,264,0,0,0
86,88,855,204,258,0,1,1
87,277,831,204,259,0,1,1
88,149,846,204,230,0,0,0
89,62,887,204,252,0,1,1
90,89,887,204,257,0,1,1
91,71,869,204,259,0,0,0
92,67,887,204,259,0,0,0
93,81,883,204,254,0,0,0
94,64,883,204,250,0,0,0
95,62,883,204,259,0,1,1
96,75,891,204,258,0,0,0
97,92,855,204,243,0,1,1
98,70,883,204,263,0,1,1
99,80,868,204,241,0,0,0
100,81,859,204,250,0,0,0
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #6
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,119,860,204,266,0,1,1
2,88,879,204,246,0,0,0
3,102,899,204,260,0,1,1
4,95,875,204,262,0,0,0
5,115,895,204,244,0,1,1
6,70,886,204,252,0,1,1
7,79,899,204,261,0,0,0
8,69,874,204,273,0,1,1
9,187,860,204,266,0,0,0
10,65,917,204,284,0,0,0
11,80,891,204,270,0,1,1
12,76,902,204,262,0,0,0
13,98,889,204,255,0,0,0
14,77,869,204,259,0,0,0
15,77,881,204,259,0,0,0
16,74,887,204,265,0,0,0
17,41,894,204,266,0,0,0
18,64,913,204,261,0,0,0
19,88,891,204,256,0,0,0
20,90,872,204,252,0,0,0
21,2012,716,204,268,0,1,1
22,1521,804,204,204,1,0,1
23,369,804,204,254,0,1,1
24,51,897,204,252,0,0,0
25,91,884,204,261,0,0,0
26,122,879,204,255,0,1,1
27,156,893,204,262,0,1,1
28,87,898,204,237,0,0,0
29,64,891,204,258,0,0,0
30,73,810,204,254,0,1,1
31,87,900,204,255,0,0,0
32,66,882,204,266,0,0,0
33,90,887,204,266,0,0,0
34,83,887,204,259,0,0,0
35,96,879,204,251,0,0,0
36,69,901,204,236,0,0,0
37,75,909,204,254,0,1,1
38,67,910,204,268,0,0,0
39,79,907,204,257,0,0,0
40,60,901,204,260,0,0,0
41,123,833,204,267,0,1,1
42,96,876,204,249,0,1,1
43,105,875,204,242,0,0,0
44,136,876,204,264,0,1,1
45,198,868,204,264,0,0,0
46,79,897,204,260,0,0,0
47,79,891,204,258,0,0,0
48,53,919,204,262,0,0,0
49,73,914,204,260,0,0,0
50,94,899,204,257,0,1,1
51,69,899,204,261,0,0,0
52,115,884,204,259,0,1,1
53,109,873,204,257,0,1,1
54,72,885,204,247,0,0,0
55,153,873,204,250,0,1,1
56,70,897,204,272,0,0,0
57,83,894,204,264,0,0,0
58,49,886,204,250,0,1,1
59,100,905,204,254,0,0,0
60,116,888,204,262,0,1,1
61,134,889,204,249,0,0,0
62,99,891,204,252,0,1,1
63,59,906,204,274,0,0,0
64,89,899,204,273,0,0,0
65,83,874,204,273,0,0,0
66,70,855,204,264,0,0,0
67,65,894,204,256,0,0,0
68,101,915,204,255,0,0,0
69,101,912,204,256,0,1,1
70,165,900,204,256,0,1,1
71,235,888,204,260,0,1,1
72,975,840,204,204,1,1,1
73,63,859,204,251,0,0,0
74,176,846,204,267,0,1,1
75,139,854,204,247,0,0,0
76,68,886,204,252,0,1,1
77,73,884,204,253,0,1,1
78,91,886,204,246,0,0,0
79,96,903,204,270,0,0,0
80,61,907,204,264,0,0,0
81,87,898,204,274,0,0,0
82,109,847,204,268,0,1,1
83,93,883,204,266,0,0,0
84,70,907,204,261,0,0,0
85,71,907,204,283,0,0,0
86,60,871,204,253,0,0,0
87,116,882,204,253,0,0,0
88,94,895,204,269,0,0,0
89,154,886,204,252,0,0,0
90,78,883,204,254,0,0,0
91,126,883,204,259,0,1,1
92,59,901,204,255,0,0,0
93,55,936,204,284,0,0,0
94,99,909,204,262,0,1,1
95,66,901,204,272,0,1,1
96,958,822,204,257,0,1,1
97,80,893,204,218,0,0,0
98,81,913,204,267,0,0,0
99,96,890,204,258,0,0,0
100,62,864,204,266,0,0,0
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #7
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,101,906,204,247,0,0,0
2,111,893,204,260,0,1,1
3,70,893,204,247,0,0,0
4,133,854,204,261,1,1,1
5,41,893,204,259,0,0,0
6,115,872,204,260,0,1,1
7,77,904,204,271,0,0,0
8,63,903,204,277,0,0,0
9,124,921,204,267,0,0,0
10,86,951,204,262,0,0,0
11,103,921,204,259,0,1,1
12,75,946,204,252,0,1,1
13,59,935,204,263,0,0,0
14,59,937,204,264,0,0,0
15,75,954,204,274,0,0,0
16,85,944,204,257,0,0,0
17,84,947,204,248,0,0,0
18,54,919,204,258,0,1,1
19,68,882,204,265,0,0,0
20,97,903,204,250,0,0,0
21,72,883,204,258,0,0,0
22,56,909,204,249,0,0,0
23,52,903,204,279,0,0,0
24,75,897,204,269,0,0,0
25,80,922,204,262,0,0,0
26,67,938,204,260,0,1,1
27,114,941,204,268,0,1,1
28,92,927,204,256,0,0,0
29,78,922,204,268,0,0,0
30,121,913,204,256,0,0,0
31,96,933,204,259,0,0,0
32,84,925,204,258,0,0,0
33,111,932,204,268,0,0,0
34,74,863,204,253,0,0,0
35,80,877,204,254,0,0,0
36,95,874,204,258,0,0,0
37,88,901,204,270,0,1,1
38,47,909,204,294,0,0,0
39,50,910,204,256,0,0,0
40,51,932,204,258,0,0,0
41,64,924,204,259,0,0,0
42,69,924,204,252,0,0,0
43,50,926,204,265,0,0,0
44,68,913,204,252,0,0,0
45,82,883,204,254,0,0,0
46,72,883,204,273,0,0,0
47,92,848,204,257,0,1,1
