MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
92,151,879,204,254,0,0,0
93,264,861,204,256,0,1,1
94,136,904,204,269,0,0,0
95,156,914,204,258,0,1,1
96,95,924,204,239,0,0,0
97,104,891,204,252,0,1,1
98,85,910,204,249,0,1,1
99,170,865,204,252,0,1,1
100,177,825,204,255,0,1,1
MVS0724.02 | 100 Measurements per MVS  #5
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,101,822,204,245,0,0,0
2,78,845,204,257,0,1,1
3,105,851,204,253,0,0,0
4,125,776,204,259,0,0,0
5,126,822,204,261,0,0,0
6,86,833,204,247,0,0,0
7,72,827,204,260,0,0,0
8,76,844,204,255,0,1,1
9,105,845,204,262,0,0,0
10,102,812,204,245,0,0,0
11,101,831,204,263,0,0,0
12,59,829,204,243,0,0,0
13,89,841,204,255,0,1,1
14,80,852,204,242,0,0,0
15,140,810,204,265,0,0,0
16,92,823,204,243,0,0,0
17,66,843,204,254,0,0,0
18,60,862,204,269,0,0,0
19,129,831,204,258,0,1,1
20,80,808,204,246,0,0,0
21,76,815,204,254,0,1,1
22,121,805,204,250,0,1,1
23,127,816,204,246,0,1,1
24,84,840,204,248,0,0,0
25,102,832,204,254,0,1,1
26,199,779,204,247,0,1,1
27,102,808,204,243,0,0,0
28,118,831,204,257,0,0,0
29,59,832,204,254,0,0,0
30,113,854,204,264,0,0,0
31,116,822,204,250,0,0,0
32,110,821,204,252,0,1,1
33,71,852,204,251,0,0,0
34,121,821,204,263,0,1,1
35,75,854,204,250,0,1,1
36,102,826,204,260,0,0,0
37,130,806,204,249,0,1,1
38,170,752,204,243,0,1,1
39,73,835,204,255,0,1,1
40,85,833,204,275,0,1,1
41,92,823,204,259,0,1,1
42,134,817,204,267,0,0,0
43,80,812,204,258,0,0,0
