MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
42,103,736,203,260,0,0,0
43,102,768,203,251,0,0,0
44,85,756,203,268,0,0,0
45,88,786,203,267,0,0,0
46,94,794,203,258,0,0,0
47,93,777,203,249,0,0,0
48,109,807,203,289,0,0,0
49,105,799,203,259,0,0,0
50,106,796,203,269,0,0,0
51,82,782,203,269,0,0,0
52,75,828,203,272,0,0,0
53,92,799,203,255,0,0,0
54,128,759,203,249,0,1,1
55,74,802,203,254,0,0,0
56,105,749,203,264,0,0,0
57,69,804,203,247,0,0,0
58,93,824,203,258,0,0,0
59,76,816,203,250,0,0,0
60,88,781,203,255,0,0,0
61,86,802,203,254,0,0,0
62,96,746,203,249,0,0,0
63,103,791,203,249,0,0,0
64,117,743,203,245,0,0,0
65,97,743,203,250,0,0,0
66,86,781,203,260,0,1,1
67,71,791,203,252,0,0,0
68,66,765,203,253,0,0,0
69,104,737,203,246,0,1,1
70,68,813,203,245,0,1,1
71,59,824,203,258,0,0,0
72,59,786,203,259,0,0,0
73,122,729,203,246,0,1,1
74,62,749,203,244,0,0,0
75,82,771,203,252,0,0,0
76,81,730,203,264,0,0,0
77,101,775,203,276,0,0,0
78,84,758,203,249,0,0,0
79,58,772,203,243,0,0,0
80,80,795,203,250,0,0,0
81,78,775,203,264,0,0,0
82,102,781,203,252,0,1,1
83,84,783,203,253,0,0,0
84,92,756,203,251,0,0,0
85,90,765,203,257,0,0,0
86,85,799,203,280,0,0,0
87,89,786,203,252,0,0,0
88,86,791,203,264,0,1,1
89,106,834,203,253,0,0,0
90,96,804,203,239,0,0,0
91,93,778,203,252,0,0,0
92,102,747,203,246,0,0,0
93,82,802,203,258,0,0,0
94,67,782,203,259,0,0,0
95,102,743,203,245,0,0,0
96,92,771,203,241,0,0,0
97,102,752,203,261,0,0,0
98,77,778,203,265,0,0,0
99,80,759,203,260,0,0,0
100,82,794,203,267,0,0,0
MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 5
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,14,602,203,266,0,0,0
2,9,263,203,253,0,1,1
3,5,16,203,203,1,1,1
4,18,381,203,203,1,0,1
5,24,288,203,242,0,1,1
6,29,38,203,203,1,1,1
7,39,431,203,203,1,0,1
8,17,268,203,258,0,1,1
9,39,439,203,203,1,0,1
10,38,688,203,241,0,0,0
11,21,337,203,254,0,1,1
12,22,260,203,233,0,1,1
13,20,446,203,203,1,0,1
14,11,252,203,242,0,1,1
15,27,98,203,203,1,1,1
16,49,513,203,203,1,0,1
17,8,306,203,259,0,1,1
18,31,361,203,203,1,0,1
19,14,282,203,250,0,1,1
20,16,24,203,203,1,1,1
21,33,97,203,203,1,1,1
22,2,2,203,203,1,1,1
23,14,45,203,203,1,1,1
24,54,450,203,203,1,1,1
25,19,308,203,267,0,1,1
26,49,358,203,203,1,1,1
27,36,338,203,249,0,1,1
28,10,168,203,249,1,1,1
29,35,65,203,203,1,1,1
30,22,402,203,203,1,0,1
31,21,690,203,250,0,0,0
32,52,661,203,258,0,1,1
33,24,501,203,253,0,1,1
34,30,327,203,238,0,1,1
35,29,324,203,203,1,0,1
36,42,536,203,250,0,1,1
37,22,255,203,247,0,1,1
38,17,640,203,243,1,0,1
39,43,663,203,259,0,1,1
40,7,266,203,256,0,1,1
41,19,408,203,203,1,0,1
42,12,264,203,244,0,1,1
43,44,411,203,203,1,1,1
44,17,312,203,262,0,1,1
45,25,163,203,203,1,1,1
46,16,287,203,245,0,1,1
47,29,335,203,203,1,1,1
48,29,650,203,243,0,0,0
49,19,357,203,253,0,1,1
50,14,56,203,203,1,1,1
