MVS0409.02L SIGMA 10000 Measurements
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
530,21,912,203,311,0,0,0
531,20,347,203,292,0,1,1
532,24,582,203,203,1,0,1
533,32,845,203,283,0,0,0
534,34,834,203,274,0,0,0
535,35,858,203,305,0,0,0
536,24,867,203,282,0,0,0
537,26,896,203,305,0,0,0
538,17,840,203,294,0,0,0
539,25,830,203,306,0,0,0
540,18,827,203,280,0,0,0
541,28,819,203,305,0,0,0
542,21,872,203,304,0,0,0
543,16,800,203,304,0,0,0
544,26,861,203,276,0,0,0
545,42,305,203,280,0,1,1
546,18,532,203,203,1,0,1
547,19,854,203,306,0,0,0
548,29,750,203,279,0,0,0
549,21,791,203,273,0,0,0
550,19,833,203,280,0,0,0
551,28,804,203,280,0,0,0
552,38,823,203,283,0,0,0
553,37,810,203,282,0,0,0
554,30,814,203,283,0,0,0
555,25,903,203,306,0,0,0
556,17,822,203,305,0,0,0
557,26,745,203,285,0,0,0
558,25,797,203,286,0,0,0
559,29,817,203,285,0,0,0
560,28,840,203,305,0,0,0
561,25,831,203,234,0,0,0
562,32,853,203,276,0,0,0
563,41,771,203,293,0,0,0
564,33,833,203,285,0,0,0
565,29,752,203,274,0,0,0
566,20,787,203,281,0,0,0
567,30,797,203,280,0,0,0
568,26,881,203,276,0,0,0
569,27,845,203,303,0,0,0
570,30,804,203,274,0,0,0
571,47,812,203,280,0,0,0
572,21,886,203,284,0,0,0
573,19,828,203,305,0,0,0
574,27,814,203,292,0,0,0
575,17,822,203,283,0,0,0
576,16,310,203,292,0,1,1
577,14,529,203,203,1,0,1
578,25,820,203,279,0,0,0
579,29,821,203,281,0,0,0
580,20,831,203,273,0,0,0
581,17,862,203,305,0,0,0
582,36,810,203,278,0,0,0
583,27,884,203,273,0,0,0
584,25,906,203,304,0,0,0
585,26,843,203,299,0,0,0
586,31,814,203,293,0,0,0
587,17,837,203,291,0,0,0
588,22,807,203,306,0,0,0
589,9,957,203,277,0,0,0
590,29,787,203,293,0,0,0
591,17,870,203,317,0,0,0
592,28,846,203,285,0,0,0
593,27,841,203,306,0,0,0
594,30,864,203,295,0,0,0
595,21,808,203,307,0,0,0
596,17,811,203,307,0,0,0
597,18,849,203,306,0,0,0
598,37,809,203,306,0,0,0
599,37,806,203,277,0,0,0
600,29,886,203,273,0,0,0
601,22,887,203,284,0,0,0
602,1,999,203,559,0,0,0
603,23,873,203,318,0,0,0
604,29,660,203,274,0,0,0
605,28,779,203,293,0,0,0
606,32,794,203,276,0,0,0
607,21,819,203,280,0,0,0
608,15,822,203,305,0,0,0
609,28,771,203,290,0,0,0
610,24,807,203,293,0,0,0
611,27,799,203,284,0,0,0
612,40,821,203,305,0,0,0
613,29,765,203,276,0,0,0
614,34,794,203,280,0,0,0
615,36,879,203,276,0,0,0
616,20,800,203,280,0,0,0
617,40,699,203,285,0,0,0
618,21,812,203,280,0,0,0
619,19,814,203,305,0,0,0
620,22,802,203,295,0,0,0
621,27,772,203,279,0,0,0
622,21,825,203,287,0,0,0
623,28,810,203,306,0,0,0
624,28,799,203,264,0,0,0
625,33,831,203,285,0,0,0
626,24,824,203,285,0,0,0
627,23,886,203,300,0,0,0
628,24,816,203,281,0,0,0
629,36,828,203,283,0,0,0
630,30,821,203,283,0,0,0
631,20,855,203,305,0,0,0
632,23,757,203,305,0,0,0
633,20,816,203,288,0,0,0
634,25,800,203,293,0,0,0
635,27,791,203,280,0,0,0
636,35,823,203,306,0,0,0
637,21,887,203,317,0,0,0
638,36,847,203,274,0,0,0
639,25,774,203,290,0,0,0
640,29,797,203,293,0,0,0
641,25,781,203,300,0,0,0
642,26,790,203,285,0,0,0
643,25,822,203,294,0,0,0
644,19,815,203,305,0,0,0
645,16,814,203,312,0,0,0
646,16,854,203,307,0,0,0
647,21,795,203,306,0,0,0
648,17,878,203,305,0,0,0
649,27,787,203,276,0,0,0
650,27,825,203,305,0,0,0
651,12,317,203,290,0,1,1
652,22,506,203,203,1,0,1
653,38,841,203,287,0,0,0
654,39,774,203,274,0,0,0
655,34,775,203,286,0,0,0
656,36,785,203,277,0,0,0
657,28,866,203,281,0,0,0
658,19,876,203,305,0,0,0
659,26,805,203,299,0,0,0
660,27,741,203,281,0,0,0
661,24,792,203,278,0,0,0
662,19,874,203,306,0,0,0
663,14,795,203,295,0,0,0
664,29,766,203,292,0,0,0
665,29,798,203,276,0,0,0
666,24,811,203,278,0,0,0
667,20,734,203,305,0,0,0
668,18,803,203,282,0,0,0
669,27,879,203,293,0,0,0
670,32,886,203,273,0,0,0
671,28,854,203,306,0,0,0
672,39,834,203,279,0,0,0
673,26,877,203,305,0,0,0
674,16,875,203,293,0,0,0
675,18,849,203,300,0,0,0
676,22,757,203,291,0,0,0
677,17,792,203,274,0,0,0
678,26,881,203,291,0,0,0
679,12,809,203,305,0,0,0
680,15,794,203,301,0,0,0
681,34,792,203,300,0,0,0
682,43,830,203,298,0,0,0
683,28,893,203,273,0,0,0
684,29,834,203,274,0,0,0
685,17,763,203,278,0,0,0
686,19,792,203,295,0,0,0
687,24,896,203,285,0,0,0
688,24,319,203,275,0,1,1
689,19,433,203,203,1,0,1
690,35,801,203,278,0,0,0
691,31,717,203,275,0,0,0
692,21,792,203,277,0,0,0
693,27,805,203,282,0,0,0
694,39,855,203,293,0,0,0
695,25,745,203,298,0,0,0
696,14,872,203,307,0,0,0
697,11,825,203,306,0,0,0
698,25,858,203,282,0,0,0
699,20,802,203,301,0,0,0
700,30,846,203,305,0,0,0
701,25,796,203,278,0,0,0
702,31,759,203,280,0,0,0
703,27,794,203,300,0,0,0
704,27,811,203,278,0,0,0
705,22,779,203,285,0,0,0
706,37,852,203,305,0,0,0
707,34,836,203,277,0,0,0
708,25,823,203,306,0,0,0
709,24,784,203,283,0,0,0
710,23,825,203,292,0,0,0
711,27,832,203,270,0,0,0
712,18,851,203,305,0,0,0
713,21,826,203,303,0,0,0
714,17,843,203,295,0,0,0
715,20,835,203,295,0,0,0
716,18,809,203,306,0,0,0
717,26,806,203,284,0,0,0
718,21,803,203,287,0,0,0
719,29,806,203,294,0,0,0
720,26,813,203,306,0,0,0
721,35,760,203,293,0,0,0
722,22,869,203,292,0,0,0
723,21,885,203,278,0,0,0
724,34,806,203,298,0,0,0
725,24,846,203,235,0,0,0
726,24,864,203,297,0,0,0
727,22,824,203,306,0,0,0
728,14,917,203,306,0,0,0
729,21,864,203,306,0,0,0
730,21,843,203,291,0,0,0
